Ref,Label,Description,Translate,MaxChars,English,German,Spanish,French,Italian,Netherland,Danish,Swedish,Chinese,Polish,Japanese,Korean,Portuguese,Slovak,Russian,Hungarian,Bulgarian,Romanian,Czech,Turkish,Finnish,Greek,T-Chinese,Serbian,Slovenian,Thai,Polish UTF8
58,STI_CLEAN_SENSOR,In Turbidity: A warning that the sensor should be cleaned.,1,14,CLEAN SENSOR,SENSOR REINIG.,LIMPIAR SENSOR,NETTOYEZ CAPT.,PULIRE SENSORE,SONDE REINIGEN,RENS SENSOR,RENG�R GIVARE,清洗传感器,WYCZYSC SONDE,センサーの洗浄,센서세정,LIMPAR SENSOR,OČISTI SENZOR,ПРОВ. СТАТУСА,SZENZ. TISZTÍT,,CURAT. SENSOR,ČISTIT SENZOR,SENSÖR TEMİZLE,PUHDISTA,ΚΑΘΑΡ. ΑΙΣΘΗΤ.,,OČISTI SENZOR,ČIŠČ SENZOR,??????,WYCZYSC SONDE
59,STI_CODE_VERSION,Embedded software version,1,14,CODE VERSION,SOFTWARE-VERS,VERSION CODIGO,VERS. LOGICIEL,VERSIONE SW,SOFTW.VERSIE,PROG. VERSION,PROG. VERSION,代码版本,SOFTWARE,バージョン記号,버전코드,VERS�O,KÓD SOFT VERZ,ЧИСТКА ДАТЧ.,SZOFT. VERZIÓ,,VERSIUNE COD,KÓD/SOFT VERZE,KOD VERSİYONU,KOODI,ΕΚΔΟΣΗ ΛΟΓΙΣΜ.,,SOFT. VERZ.,VERZ PROGRAM,??????,SOFTWARE
60,STI_COLON,DO NOT TRANSLATE,0,1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,??????,:
61,STI_COMB_ORP,Combination ORP sensor,1,15,COMB ORP,KOMB REDOX-EL,COMB. ORP,REDOX COMBINEE,ORP COMBINATO,COMB REDOX,REDOX KOMB.,KOMB. REDOX EL,组合ORP,KOMB. ORP,複合ORPセンサ,복합ORP,ORP COMBINADO,KOMBIN OPR,КОМБ. ORP,REDOX KOMB.,,COMB ORP,KOMBIN ORP,KOMBİNE ORP,ORP,ΣΥΝΔ.ΑΙΣΘ.ORP,,KOMB. ORP,KOMB REDOKS EL,??????,KOMB. ORP
62,STI_COMB_PH,Combination pH sensor,1,15,COMBINATION pH,KOMB pH-ELEKTR,COMBINACION pH,pH COMBINEE,pH COMBINATO,COMBINATIE pH,pH KOMB.SENSOR,KOMB. pH EL,组合PH,KOMBINACJA pH,複合pHセンサ,복합pH,PH COMBINADO,KOMBIN pH,КОМБ. PH,pH KOMBINÁLÁS,,COMBINATIE pH,KOMPIN pH,KOMBİNE pH,pH,ΣΥΝΔ. ΑΙΣΘ. Ph,,KOMB. Ph,KOMB pH ELKTR,??????,KOMBINACJA pH
63,STI_COMM_TEST,RS-232 LOOP,1,13,RS-232 LOOP,RS-232-SCHLEIFE,LAZO RS-232,BOUCLE RS-232,RS-232,RS232 UITGANG,RS-232 LOOP,RS-232 SLINGA,RS-232环,PETLA RS-232,RS-232 LOOP,RS-232 루프,RS-232 LOOP,RS-232 SLUČKA,КОНТУР RS-232,RS232 CIKLUS,RS-232 LOOP,BUCLĂ RS-232,RS-232 LOOP,RS-232 DÖNGÜ,RS-232 LOOP,ΒΡΟΧΟΣ RS-232,RS-232 LOOP,RS-232 PETLJA,RS-232 ZANKA,??????,PETLA RS-232
64,STI_COMPARISON_CAL,One point sample calibration. Measurement is equated to know value.,1,15,SAMPLE CAL,IN-LINE KAL,ENSAYO DE CAL,ETAL. PROCESS,TARAT CON CAMP,MONSTERKAL.,IN-LINE KALIB,IN-LINE KALIB,取样校准,KALIB.PROBA,サンプル校正,시료교정,CAL COMPARAT,KAL VZORKA,ОБРАЗ. КАЛИБР.,MINTAKALIBRÁL.,,CAL PROBA,SAMPLE KAL,NUMUNE KAL,NÄYTEKAL,ΒΑΘΜ ΔΕΙΓΜΑΤ,,KALIB. 1 TAČKA,KAL VZOREC,??????,KALIB.PROBA
65,STI_CONCENTRATION,Select concentration measurement type,1,15,CONCENTRATION,KONZENTRATION,CONCENTRACION,CONCENTRATION,CONCENTRAZIONE,CONCENTRATIE,KONCENTRATION,KONCENTRATION,浓度,STEZENIE,濃度,농도,CONCENTRA��O,KONCENTRÁCIA,КОНЦЕНТРАЦИЯ,KONCENTRÁCIÓ,,CONCENTRATIE,KONCENTRACE,KONSANTRASYON,KONSENTR,ΣΥΓΚΕΝΤΡΩΣΗ,,KONCENTRACIJA,KONCENTRACIJA,??????,STEZENIE
66,STI_CONC_CACL_0_22,DO NOT TRANSLATE,0,11,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,CaCl2 0-22%,??????,CaCl2 0-22%
67,STI_CONC_H2SO4_0_30,DO NOT TRANSLATE,0,11,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,H2SO4 0-30%,??????,H2SO4 0-30%
68,STI_CONC_H2SO4_40_80,DO NOT TRANSLATE,0,12,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,H2SO4 40-80%,??????,H2SO4 40-80%
69,STI_CONC_H2SO4_93_99,DO NOT TRANSLATE,0,12,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,H2SO4 93-99%,??????,H2SO4 93-99%
70,STI_CONC_H3PO4_0_40,DO NOT TRANSLATE,0,11,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,H3PO4 0-40%,??????,H3PO4 0-40%
71,STI_CONC_HCL_0_18,DO NOT TRANSLATE,0,9,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,HCl 0-18%,??????,HCl 0-18%
72,STI_CONC_HCL_23_26,DO NOT TRANSLATE,0,10,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,HCl 22-36%,??????,HCl 22-36%
73,STI_CONC_HF_0_30,DO NOT TRANSLATE,0,8,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,HF 0-30%,??????,HF 0-30%
74,STI_CONC_HNO3_0_28,DO NOT TRANSLATE,0,11,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,HNO3 0-28%,??????,HNO3 0-28%
75,STI_CONC_HNO3_36_96,DO NOT TRANSLATE,0,11,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,HNO3 36-96%,??????,HNO3 36-96%
76,STI_CONC_NACL_0_25,DO NOT TRANSLATE,0,10,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,NaCl 0-25%,??????,NaCl 0-25%
77,STI_CONC_NAOH_0_16,DO NOT TRANSLATE,0,11,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,NaOH 0-16%,??????,NaOH 0-16%
78,STI_CONC_USER_DEF,Select a user defined compensation table,1,14,USER DEFINED,BENUTZERDEF,DEF DE USUARIO,TABL. UTILISAT,DEF.PROG.UTEN.,GEBR.DEFINITIE,BRUGER TABEL,EGEN TABELL,用户定义,DEFIN.UZYTKOW.,ユーザー補償,사용자정의,DO USU�RIO,UŽÍVAT DEFIN,ПОЛЬЗОВАТЕЛ.,SAJÁT BEÁLLÍT.,,DEFIN.UTILIZAT,UŽIVAT DEFINOV,KULLANICI TAN,OMA,ΚΑΘΟΡΙΣ. ΧΕΙΡ.,,KORIS.KOMP.,UPORAB NAST,??????,DEFIN.UZYTKOW.
79,STI_CONDUCTIVITY,Select Conductiviy measurement type,1,15,CONDUCTIVITY,LEITF�HIGKEIT,CONDUCTIVIDAD,CONDUCTIVITE,CONDUCIBILITA,GELEIDBAARHEID,LEDNINGSEVNE,KONDUKTIVITET,电导率,PRZEWODNICTWO,電気伝導率,전기전도도,CONDUTIVIDADE,VODIVOSŤ,ПРОВОД.,VEZETÖKÉPESSÉG,,CONDUCTIVITATE,KONDUKTIVITA,İLETKENLİK,JOHTOKYKY,ΑΓΩΓΙΜΟΤΗΤΑ,,PROVODNOST,PREVODNOST,??????,PRZEWODNICTWO
80,STI_COND_AUX_CAL,Select Conductivity calibration method,1,15,COND CAL,KAL LEITF�HIGK,CAL DE COND.,ETAL. CONDUCT.,CALIBR. CONDUC,KAL. GELEIDB.,COND KAL,V�LJ KOND KAL,电导率校准,KALIB.PRZEW.,電気伝導率校正,전도도교정,CAL CONDUT,KAL VODIVOSŤ,КАЛ.ПРОВОД.,VEZKÉP KALIB.,,CALIB CONDUCT,KONDUKT KALIBR,İLET KAL,JOHTOK KAL,ΒΑΘΜ.ΑΓΩΓΙΜΟΤ.,,KALIB. PROV.,KALIB PREVOD,??????,KALIB.PRZEW.
81,STI_CONFIRM_ACTIVE,Leaving calibration will activate outputs,1,15,CONFIRM ACTIVE?,MITLAUFEN BEST?,CONFIRM ACTIVO?,CONF. ACTIVES?,USCITE ATTIVE?,BEVESTIG ACTIEF,UDGANG AKTIV?,UTG.AKTIVERAS,确认激发？,WYJSCIA AKTYW?,実行しますか?,활성화시킬까요?,ATIVA?,POTV.AKT.VYST,АКТИВИРОВАТЬ?,AKTÍVÁLLÁS IND?,,CONFIRM ACTIV?,KONFIRM AKTIV?,ONAYLA AKTİF?,AKTIV ULOSTULO?,ΕΠΙΒΕΒ. ΕΝΕΡΓΟ,,POTVRDI AKTIV.,POTRDI AKTIV?,??????,WYJSCIA AKTYW?
82,STI_CONFIRM_CAL_OK,Confirm that the calibration has passed.,1,15,CONFIRM CAL OK?,KAL OK?,CONFIRMAR CAL,CONF. ETAL. OK?,CONF.CAL.OK?,BEVESTIG KAL OK,KALIBR.OK?,BEKR.KAL.OK?,确认校准正常？,KALIB.OK.?,校正はOK?,교정설정확인?,CONF CAL OK?,POTV.KAL. OK,КАЛ. ЗАВЕРШ.?,KALIB. HELYES?,,CONFIRM CAL OK?,KONFIRM KAL OK?,ONAYLA KAL OK?,KALIBROINTI OK?,ΕΠΙΒΕΒ. ΒΑΘΜ OK,,POTVRDI KALIB.,POTRDI KALIB?,??????,KALIB.OK.?
83,STI_CONFIRM_FAILURE,Confirm that the calibration has failed,1,16,CONFIRM FAILURE?,KAL FEHLER?,CONFIRMAR FALLO,CONF. ETAL IMP?,CONF.CAL.IMP.?,BEVESTIG FOUT,FEJL OK?,BEKR.KAL.FEL?,确认失败？,BLAD KALIB.?,失敗はOK?,실패확인?,CONFIRMA FALHA?,POTV CHYBY,КАЛ. ОШИБ.?,KALIB. HIBÁS?,,CONF. EROARE?,KONFIRM CHYBY?,ONAYLA HATA?,KAL VIRHE?,ΕΠΙΒΕΒ. ΑΠΟΤΥΧΙΑ,,POTVRDI GREŠKU,POTRDI NAPAKO?,??????,BLAD KALIB.?
84,STI_CONFIRM_ZERO_OK,Confirm that the zero calibration passed.,1,16,CONFIRM ZERO OK,KAL 0-PKT OK?,CONF. CERO OK,CONF. ZERO OK?,CONF.ZERO OK,BEVEST.NUL OK,NULKALIBR.OK?,BEKR.NOLLKALIB,确认零点正常,KALIB.PUNKTU O,ゼロはOK?,제로설정완료,ZERO OK,POTV NULOVANIE,УСТ. 0 ЗАВЕРШ.,NULLA RENDBEN?,,CONF.ZERO OK,KONFIRM NULY,ONAYLA SIFIR OK,NOLLAKAL OK?,ΕΠΙΒΕΒ.ΤΥΦΛΟ ΟΚ,,KALIB 0 OK ?,POTRDI 0 TOČ?,??????,KALIB.PUNKTU O
85,STI_CONTROL,set up the realy with on activation point.,1,13,CONTROL,REGEL,CONTROL,REGULATEUR,REGOLAZIONE,CONTROLE,KONTROL,GR�NSV�RDE,控制,STEROW.,制御,콘트롤,CONTROLE,NASTAV RIAD,КОНТРОЛЬ,ELLENÖRZÉS,,CONTROL,NASTAV ŘĺZENĺ,KONTROL,SÄÄTÖ,ΕΛΕΓΧΟΣ,,KONTROLA,KONTROL,??????,STEROW.
86,STI_C_2_E_CAL,DO NOT TRANSLATE.,0,7,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,C2E CAL,??????,C2E CAL
87,STI_DEENERGIZE,Present tense - the relays are de-energized,1,16,DE-ENERGIZE,STROMLOS,DESACTIVAR,RELAIS REPOS,RELE ATTIVO,GEDEACTIVEERD,REL� DEAKTIV,EJ DRAGET,失电,ROZLADOWYWANIE,リレー非起動済,에너지제거,DESENERGIZAR,OD ENERGIZUJ,ВЫКЛЮЧЕНИЕ,RELÉ KIKAPCS.,,DE-ENERGIZARE,DEENERGIZACE,ENERJİYİ KES,RELE POIS?,ΑΠΟΣΥΝΔΕΣΗ,,RELEI PUŠTENI,IZKLAPLJA,??????,ROZLADOWYWANIE
88,STI_DEENERGIZED,Relay is de-energized,1,15,DE-ENERGIZED,AUSGESCHALTET,DESACTIVADO,RELAIS REPOS,RELE DISATTIV.,GEDEACTIVEERD,IKKE AKTIV,EJ DRAGET,失电,ROZLADOWANY,リレー非励磁,에너지제거된,DESENERGIZADO,OD ENERGIZ.,ВЫКЛЮЧЕНО,REL.KIKAPCSOLT,,DE-ENERGIZAT,DEENERGIZOVÁNO,ENERJİ KESİLDİ,RELE POIS,ΑΠΟΣΥΝΔΕΘΗΚΕ,,RELE DEAKTIV.,IZKLOPLJEN,??????,ROZLADOWANY
89,STI_DEFAULT_CONFIG,Reset the system configuration default values,1,14,RESET CONFIG,ZUR�CKSETZEN,CARGAR CONFIG,VAL. DEFAUT?,CONF. RESET,RESET SYSTEEM,RESET KONFIG,RESET,复位组态,RESETUJ KONFIG,設定のリセット,재설정,RESET SISTEMA,STLAC KONFIG,СБРОС НАСТР.,ALAPBEÁLLÍTÁS,,RESET CONFIG,RESET KONFIG,RESET KONFİG,PALAUTA ASET,ΕΚ ΝΕΟΥ ΔΙΑΜ.,,RESET KONF.,PONAST KONFIG,??????,RESETUJ KONFIG
90,STI_ARE_YOU_SURE,Are you sure you want to continue?  If not press Esc.,1,15,ARE YOU SURE?,SICHER?,SEGURO?,CONTINUER?,SEI SICURO?,BENT U ZEKER?,FORTS�T?,�R DU S�KER?,确认?,NA PEWNO?,いいですか？,정말입니까?,TEM CERTEZA?,STE SI ISTÝ ?,ВЫ УВЕРЕНЫ?,RENDBEN?,,ESTI SIGUR?,OPRAVDU? DÁLE?,EMİN MİSİNİZ?,JATKA?,ΕΙΣΤΕ ΒΕΒΑΙΟΙ;,,SIGURNO ???,STE PREPRIČ?,??????,NA PEWNO?
91,STI_DELETE_ENTRY,Delete a point in the table,1,15,DELETE ENTRY?,L�SCHE EINGABE,ELIMINAR?,SUPPR. POINT?,CANC. ENTRY?,DELETE INGAVE,FJERN PKT?,TA BORT DATA,删除进入?,USUNAC DANE?,削除しますか？,입력제거?,APAGA ENTRADA?,ZMAZAŤ ZADAN ?,УДАЛИТЬ?,BEJEGYZ.TÖRLÉS,,STERGE INTR.?,SMAZAT,GİRİLENİ SİL?,POISTA?,ΔΙΑΓΡ ΕΙΣΟΔΟΥ;,,IYBRIŠI,IZBRIS VNOSA?,??????,USUNAC DANE?
92,STI_DETECT_1_FAIL,Indicates that detector 1 has failed on the turbidity measurement,1,15,DETECT 1 FAIL,DETEKT1 DEFEKT,DETEC1 FALLADO,DET. 1 ERREUR,ERR RILEVATORE 1,FOUT DETECTOR1,DETECT 1 FEJL,DETEKTOR 1 FEL,察觉1号出错,1 NIE DZIALA,検出器1不具合,디텍트1 실패,FALHA DETECT 1,DETEKT 1 CHYBA,ОШИБ. ДЕТЕК.1,1.DET. HIBÁS,,DETECT 1 EROAR,DETEKT 1 CHYBA,DEDEK 1 HATALI,DETECT 1 FAIL,ΑΝΙΧΝ.1 ΑΠΟΤΥΧ,,DET 1. DEFEKT,NAP DETEKT 1,??????,1 NIE DZIALA
93,STI_DETECT_1_OK,Indicates that detector 1 is ok on the turbidity measurement.,1,14,DETECT 1 OK,DETEKT 1 OK,DETEC 1 BIEN,DETECTEUR 1 OK,RILEVATORE 1 OK,DETECTOR 1: OK,DETEKT 1 OK,DETEKTOR 1 OK,察觉1号正常,1 OK,検出器1OK,디텍트1 성공,DETECTOR 1 OK,DETEKT 1 OK,ДЕТЕК.1 ИСПР.,1.DET. RENDBEN,,DETECT 1 OK,DETEKT 1 OK,DEDEKTÖR 1 OK,DETECT 1 OK,ΑΝΙΧΝΕΥΤ.1 ΟΚ,,DET 1. OK,DETEKT 1 OK,??????,1 OK
94,STI_DETECT_2_FAIL,Indicates that detector 2 has failed on the turbidity measurement,1,15,DETECT 2 FAIL,DETEKT2 DEFEKT,DETEC2 FALLADO,DET. 2 ERREUR,ERR RILEVATORE 2,FOUT DETECTOR2,DETECT 2 FAJL,DETEKTOR 2 FEL,察觉2号出错,2 NIE DZIALA,検出器2不具合,디텍트2 실패,FALHA DETECT 2,DETEKT 2 CHYBA,ОШИБ. ДЕТЕК.2,2.DET. HIBÁS,,DETECT 2 EROAR,DETEKT 2 CHYBA,DEDEK 2 HATALI,DETECT 2 FAIL,ΑΝΙΧΝ.2 ΑΠΟΤΥΧ,,DET 2. DEFEKT,NAP DETEKT 2,??????,2 NIE DZIALA
95,STI_DETECT_2_OK,Indicates that detector 2 is ok on the turbidity measurement.,1,14,DETECT 2 OK,DETEKT 2 OK,DETEC 2 BIEN,DETECTEUR 2 OK,RILEVATORE 2 OK,DETECTOR 2: OK,DETEKT 2 OK,DETEKTOR 2 OK,察觉2号出错,2 OK,検出器2OK,디텍트2 성공,DETECTOR 2 OK,DETEKT 2 OK,ДЕТЕК.2 ИСПР.,2.DET. RENDBEN,,DETECT 2 OK,DETEKT 2 OK,DEDEKTÖR 2 OK,DETECT 2 OK,ΑΝΙΧΝΕΥΤ.2 ΟΚ,,DET 2. OK,DETEKT 2 OK,??????,2 OK
96,STI_DIFF_A_B,Subtract the value of Sensor B from Sensor A,1,14,DIFF (A - B),DIFF (A - B),RESTAR (A-B),DIFF. (A - B),DIFF.  (A-B),DIFF (A-B),DIFF (A - B),SKILLNAD (A-B),A - B 差值,ROZNICA (A - B),(A-B)値,미분(A - B),DIFER (A-B),ROZDIEL (A-B),РАЗНИЦА (A-B),A-B KÜLÖNBSÉG,,EXTR.(A - B),DIFERENC (A-B),FARK (A-B),EROTUS (A-B),ΔΙΑΦΟΡΑ(Α-Β),,RAZL. (A-B),DIF (A-B),??????,ROZNICA (A - B)
97,STI_DIFF_B_A,Subtract the value of Sensor A from Sensor B.,1,14,DIFF (B - A),DIFF (B - A),RESTAR (B-A),DIFF. (B - A),DIFF. (B-A),DIFF(B-A),DIFF (B - A),SKILLNAD (B-A),B - A 差值,ROZNICA (B - A),(B-A)値,미분(B - A),DIFER (B-A),ROZDIEL (B-A),РАЗНИЦА (B-A),B-A KÜLÖNBSÉG,,EXTR.(B - A),DIFERENC (B-A),FARK (B-A),EROTUS (B-A),ΔΙΑΦΟΡΑ(Β-Α),,RAZL. (B-A),DIF (B-A),??????,ROZNICA (B - A)
98,STI_DIFF_ORP,Differential ORP sensor,1,14,DIFF ORP,DIFF REDOX EL,DIFEREN. ORP,DIFF. REDOX,RX DIFFERENZ.,DIFF REDOX,REDOX DIFF.,DIFF.REDOX EL.,ORP差值,ROZNICOWY ORP,ORP差,미분ORP,ORP TIPO DIFER,DIFERENC ORP,ДИФФ. ORP,DIFF. REDOX,,DIF.SENSOR ORP,DIFERENC ORP,DİF ORP,DIFF ORP,ΔΙΑΦΟΡΑ ORP,,RAZL. ORP,DIF REDOKS,??????,ROZNICOWY ORP
99,STI_DIFF_PH,Differential pH sensor,1,14,DIFF pH,DIFF pH ELEKTR,DIFERENCIAL pH,DIFF. pH,pH DIFFERENZ.,DIFF pH,pH DIFF.SENSOR,DIFF.pH EL,PH差值,ROZNICOWY pH,pH差,미분pH,PH TIPO DIFER,DIFERENC pH,ДИФФЕРЕН. PH,DIFF. pH,,DIFERENTIAL pH,DIFERENC pH,DİF pH,DIFF pH,ΔΙΑΦΟΡΑ pH,,RAZL. Ph,DIF pH ELEKTR,??????,ROZNICOWY pH
100,STI_DIN_STANDARD,DIN standard buffers for pH calibration,1,14,DIN 19267,DIN 19267,DIN 19267,TAMP DIN 19267,DIN 19267,DIN 19267,DIN 19267,DIN 19267,DIN 19267,WG DIN 19267,DIN 19267,DIN 19267,DIN 19267,DIN 19267,DIN/ГОСТ,DIN 19267,,DIN 19267,DIN 19267,DIN 19267,DIN 19267,DIN 19267,,DIN 19267,DIN19267,??????,WG DIN 19267
101,STI_DISABLE,Disable a function. EG: Disable passwor,1,13,DISABLED,DEAKTIVIERT,DESHABILITAR,DESACTIVE,DISABILITATO,GEBLOKKEERD,FRAKOBLET,URKOPPLAT,失效,WYLACZONE,設定無効,사용불능,DESABILITADO,ZNEMOŽNI,ОТКЛ.,TILTVA,,DEZACTIVAT,ZNEMOŽNIT,ETKİSİZLEŞTİ,EI KÄYTÖSSÄ,ΜΗ ΑΠΟΔ.ΚΩΔ.,,DEAKTIVIRAJ,DEAKTIVIRAJ,??????,WYLACZONE
102,STI_DONE,The action you just selected has been executed.,1,12,DONE,O.K.,HECHO,FAIT,ESEGUITO,UITGEVOERD,OK,OK,完成,WYKONANE,実行しました,완료,CONCLU�DO,HOTOVE,ВЫПОЛНЕНО,KÉSZ,,EXECUTAT,HOTOVO,YAPILDI,VALMIS,ΕΧΕΙ ΓΙΝΕΙ,,OK.,OK,??????,WYKONANE
103,STI_DO_WHAT,Edit a lookup table for temperature or concentration,1,14,EDIT TABLE,�NDERE TABELLE,EDITAR LISTA,EDITER TABLEAU,INS TABELLA,TABEL BEWERKEN,EDIT TABEL,SKAPA TABELL,编辑表格,EDYCJA TABELI,テーブルを編集,테이블수정,EDITAR TABELA,EDIT TABULKU,РЕДАК. ТАБЛ.,TÁBL.SZERK.,,EDITARE TABEL,EDIT TABULKA,TABLO DÜZENLE,EDITOI TAUL,ΠΡΟΣΘ.ΠΙΝΑΚΑ,,POPUNI TABELU,VSTAVI TABELO,??????,EDYCJA TABELI
104,STI_EBC_FTU,Turbidity units of measure - DO NOT TRANSLATE,0,7,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,EBC FTU,??????,EBC FTU
